"","Time","Signal","Lower","Upper","FStat","pval","R2","Emotion","Condition","Stimulus"
"1",-0.457700000000017,0,0,0,0,1,0,"Happy","Ekman","Visual"
"2",1.54999999999998,0.06204058412131,-0.00567355015134753,0.129754718393967,NA,1,-0.000436844923904722,"Happy","Ekman","Visual"
"3",3.55769999999998,0.108342179640132,-0.0117330351617391,0.228417394442003,NA,1,-0.000966030556610153,"Happy","Ekman","Visual"
"4",5.56539999999998,0.140350190291107,-0.0182310984962097,0.298931479078424,NA,1,-0.00114678412974034,"Happy","Ekman","Visual"
"5",7.57309999999998,0.159510019808877,-0.0252507927879603,0.344270832405713,NA,1,-0.000427801558804175,"Happy","Ekman","Visual"
"6",9.58079999999998,0.167267071928082,-0.0329183130098652,0.367452456866028,1.20228303489097,0.30287639763871,0.000849562627282752,"Happy","Ekman","Visual"
"7",11.5885,0.165066750383364,-0.0414214549738572,0.371554955740585,1.66686161363279,0.147761868935033,0.00163170239527577,"Happy","Ekman","Visual"
"8",13.5962,0.154354458909364,-0.0510356969782628,0.35974461479699,1.95469974344908,0.0915296265553449,0.00224251926756402,"Happy","Ekman","Visual"
"9",15.6039,0.136575601240723,-0.0621585256594394,0.335309728140885,1.76334006907019,0.128254277742752,0.00182570083709666,"Happy","Ekman","Visual"
"10",17.6116,0.113175581112083,-0.0753465694806112,0.301697731704777,1.6332104702758,0.156779618301709,0.00156658691951639,"Happy","Ekman","Visual"
"11",19.6193,0.0855998022580843,-0.0913317337836509,0.262531338299819,NA,1,-0.000304709369943756,"Happy","Ekman","Visual"
"12",21.627,0.0552936684133687,-0.110952375468232,0.22153971229497,NA,1,-0.000108602526917245,"Happy","Ekman","Visual"
"13",23.6347,0.0237025833125773,-0.134888870839729,0.182294037464884,0.604057324839461,0.641842675450142,0.000214592323598883,"Happy","Ekman","Visual"
"14",25.6424,-0.00772804930964866,-0.163142947378765,0.147686848759467,NA,1,-6.13166783107744e-05,"Happy","Ekman","Visual"
"15",27.6501,-0.0375528257186681,-0.194478034926126,0.11937238348879,NA,1,-0.000533816405157816,"Happy","Ekman","Visual"
"16",29.6578,-0.0643263421798395,-0.226291792706099,0.09763910834642,NA,1,-0.000886403128759872,"Happy","Ekman","Visual"
"17",31.6655,-0.0866031949585221,-0.25507442974632,0.0818680398292763,NA,1,-0.00180619001120141,"Happy","Ekman","Visual"
"18",33.6732,-0.102952933396616,-0.277076309650133,0.071170442856901,NA,1,-0.00153589436781654,"Happy","Ekman","Visual"
"19",35.6809,-0.112842291428516,-0.290125657517745,0.0644410746607125,NA,1,-0.000944180849943077,"Happy","Ekman","Visual"
"20",37.6886,-0.117128639106985,-0.294708358678184,0.0604510804642137,NA,1,-0.000734972361459141,"Happy","Ekman","Visual"
"21",39.6963,-0.116788971097118,-0.291975854515458,0.0583979123212231,-1.77719770012451,0.125911919054703,0.00185445558475716,"Happy","Ekman","Visual"
"22",41.704,-0.112800282064008,-0.283387869160197,0.05778730503218,-1.86705112300402,0.10861629158717,0.00204632156746953,"Happy","Ekman","Visual"
"23",43.7117,-0.106139566672752,-0.270614987327771,0.0583358539822667,-1.84820363377511,0.11265136923504,0.00200529815342521,"Happy","Ekman","Visual"
"24",45.7194,-0.0977838195884439,-0.255479133393215,0.0599114942163276,-2.09845901935277,0.0690418110597916,0.00258361953477171,"Happy","Ekman","Visual"
"25",47.7271,-0.0887100354761784,-0.239895239738584,0.0624751687862273,-1.71668864893266,0.136587833804495,0.00173054116358662,"Happy","Ekman","Visual"
"26",49.7348,-0.0798952090010503,-0.225781809896925,0.0659913918948239,-1.18606012658084,0.30989106168077,0.000826809129134354,"Happy","Ekman","Visual"
"27",51.7425,-0.0723163348281546,-0.214919864310599,0.0702871946542893,-0.576429014850196,0.65846847064134,0.000195414987378517,"Happy","Ekman","Visual"
"28",53.7502,-0.066950407622586,-0.208777285671295,0.0748764704261232,-0.452332355584542,0.740453122232767,0.000120341139742797,"Happy","Ekman","Visual"
"29",55.7579,-0.0647744220494395,-0.208369946941271,0.0788211028423923,-0.497500496984905,0.711026902010444,0.00014557100864343,"Happy","Ekman","Visual"
"30",57.7656,-0.0667653727738096,-0.214243098462021,0.0807123529144019,NA,1,-3.25379608567822e-05,"Happy","Ekman","Visual"
"31",59.7733,-0.0739002544607913,-0.226585973369539,0.0787854644479565,-0.468741036246583,0.731687338857009,0.000129229273554965,"Happy","Ekman","Visual"
"32",61.781,-0.0871560617754794,-0.245407106477915,0.0710949829269565,-1.04184065618537,0.374844114107668,0.000638081975479876,"Happy","Ekman","Visual"
"33",63.7887,-0.107509789382969,-0.27068785270255,0.0556682739366131,-1.26834790554899,0.275263689343188,0.000945403254844046,"Happy","Ekman","Visual"
"34",65.7964,-0.135938431948354,-0.302482483691876,0.0306056197951683,-1.42533764239465,0.216949541808493,0.00119362496552522,"Happy","Ekman","Visual"
"35",67.8041,-0.173301673421207,-0.340901201484814,-0.00570214535759964,-1.74242853878456,0.130669732099532,0.00178273219754355,"Happy","Ekman","Visual"
"36",69.8118,-0.219095460683144,-0.385334161448819,-0.0528567599174704,-1.59035102065699,0.168472162359976,0.00148556415043422,"Happy","Ekman","Visual"
"37",71.8195,-0.27193591024936,-0.434788994715242,-0.109082825783478,-1.03861436448744,0.37516115834641,0.000634138670694728,"Happy","Ekman","Visual"
"38",73.8272,-0.330424474795608,-0.488418933792664,-0.172430015798551,-0.851705505026718,0.476882549229938,0.000426525214667683,"Happy","Ekman","Visual"
